FIPS,County Name,State Abbreviation,Count of Total Facilities,Total Gross Releases (lb),Gross Releases per Sq Mile (lb),Rank Based on Gross Releases per Sq Mile,Count of Facilities reporting Water Releases,Water Releases (lb),Water Releases per Sq Mile (lb),Rank Based on Water Releases per Sq Mile,Count of Facilities reporting Air Releases,Air Releases (lb),Air Releases per Sq Mile (lb),Rank Based on Air Releases per Sq Mile,Count of Facilities Reporting Land Releases,Land Releases (lb),Land Releases per Sq Mile (lb),Rank Based on Land Releases per Sq Mile,Population (2010),RSEI Pounds,RSEI Hazard,RSEI Score,Rank Based on RSEI Pounds,Rank Based on RSEI Hazard,Rank Based on RSEI Score
02013,Aleutians East,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,"3,141",0.00,0.00,0,0,0,0
02016,Aleutians West,AK,1,"3,406.00",0.78,2103,0,0,,0,1,3406,0.775823603,1911,0,0,,0,0,0.00,0.00,0,0,0,0
02020,Anchorage,AK,3,"53,435.30",31.34,1644,1,65,0.038127799,941,3,5752.3,3.374192871,1784,2,47616,27.9306656,516,"291,826","5,821.30","21,323,035.58",2715.374219,"1,717","1,464",1002
02050,Bethel,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02060,Bristol Bay,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02068,Denali,AK,2,"458,763.76",35.98,1622,1,0.01,7.84217E-07,1286,2,819.59,0.064273669,2075,2,138297,10.84549063,593,"1,826",819.60,"6,398,090.62",0.246722727,"1,923","1,618",2130
02070,Dillingham,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02090,Fairbanks North Star,AK,8,"24,077,636.29","3,280.95",256,0,0,,0,8,62356.45558,8.497028948,1647,3,23640767.6,3221.419255,92,"97,581","62,401.19","994,301,193.12",7283.460864,"1,138",655,752
02100,Haines,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02105,Hoonah-Angoon,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,"2,150",0.00,0.00,0,0,0,0
02110,Juneau,AK,2,"43,472,992.90","16,089.11",49,2,2511.1,0.929344249,637,2,16560.6,6.128986648,1705,2,43453921.2,16082.05638,24,"31,275","19,076.70","2,441,010,086.70",439.6376406,"1,492",434,1370
02122,Kenai Peninsula,AK,1,"39,874.00",2.48,2024,1,1440,0.089579198,850,1,36982.00003,2.300567987,1820,1,21,0.001306363,1039,"55,400","39,929.00","255,078,015.02",541.7688758,"1,290",986,1331
02130,Ketchikan Gateway,AK,1,0.14,0.00,2315,0,0,,0,1,0.1412,2.90629E-05,2249,0,0,,0,"13,477",0.14,"3,247.60",0.0916663,"2,258","2,224",2181
02150,Kodiak Island,AK,1,260.00,0.04,2231,1,250,0.038169539,940,1,10,0.001526782,2199,0,0,,0,0,260.00,"52,100,000.00",8.59267,"2,012","1,301",1860
02164,Lake and Peninsula,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02170,Matanuska-Susitna,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02180,Nome,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02185,North Slope,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02188,Northwest Arctic,AK,1,"756,441,429.40","21,148.67",39,1,2876.803,0.080429951,861,1,224079.8504,6.264847278,1699,1,756207530,21142.12714,18,"7,523","226,956.65","668,871,799.80",337.4801817,700,773,1425
02195,Petersburg,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02198,Prince of Wales-Hyder,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02220,Sitka,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02230,Skagway,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02240,Southeast Fairbanks,AK,2,"9,300,386.40",375.49,863,1,413809.7,16.70707364,423,2,3041.4,0.122792902,2035,2,8883360.3,358.6550889,268,"7,029","416,851.10","6,526,335,837.00",148.7942179,494,254,1561
02261,Valdez-Cordova,AK,1,773.82,0.02,2249,0,0,,0,1,773.8236023,0.022600025,2118,0,0,,0,0,773.82,"21,667,022.10",10.4726935,"1,930","1,461",1837
02270,Wade Hampton,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02275,Wrangell,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02282,Yakutat,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
02290,Yukon-Koyukuk,AK,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
01001,Autauga,AL,2,"2,972,110.70","4,999.88",151,1,80610.4,135.6080062,243,2,2784401.303,4684.099189,47,1,107099.0005,180.1688359,336,"54,571","2,865,011.70","3,877,500,401.80",47842.60393,78,349,410
01003,Baldwin,AL,8,"25,680.34",16.15,1793,4,15.87221896,0.009983623,1096,6,10996.97,6.917092578,1682,0,0,,0,"182,265","11,018.14","10,916,894,644.65",346841.4091,"1,611",169,146
01005,Barbour,AL,6,"219,776.16",248.37,1011,2,2647,2.991376133,554,5,190488.55,215.2712135,720,2,19079.42,21.56166287,537,"27,457","241,969.65","38,260,243.00",366.0639441,674,"1,361",1407
01007,Bibb,AL,1,"13,877.22",22.29,1727,1,50.50777395,0.081126209,860,1,13826.71023,22.20863247,1430,0,0,,0,"22,915","13,877.22","18,144,196.33",3453.74533,"1,563","1,487",944
01009,Blount,AL,1,"1,475,528.00","2,288.33",329,1,1475103,2287.666802,40,1,425,0.659112205,1922,0,0,,0,"57,322","1,475,528.00","932,198.00",34.03211481,173,"1,843",1732
01011,Bullock,AL,0,0.00,,0,0,0,,0,0,0,,0,0,0,,0,0,513.00,"2,308,500.58",0.4615795,"1,963","1,752",2093
01013,Butler,AL,1,"42,570.80",54.80,1517,0,0,,0,1,42392.60066,54.57138613,1172,0,0,,0,"20,947","42,392.60","365,762.44",0.495758781,"1,276","1,933",2090
01015,Calhoun,AL,18,"364,431.39",601.48,702,8,340.672,0.562267837,668,16,105756.99,174.5484045,781,2,13628.9,22.49404744,534,"118,572","106,335.80","10,069,357,352.99",812272.9042,965,185,89
01017,Chambers,AL,4,"355,004.01",595.11,705,0,0,,0,3,348451.42,584.1291921,402,2,161.39,0.270547356,836,"34,215","348,736.62","2,826,704.40",16.88512057,560,"1,728",1796
01019,Cherokee,AL,2,"2,030.10",3.67,2000,1,65.7,0.118651925,825,2,872.9,1.576427177,1853,0,0,,0,"25,989",938.60,"6,089,544.73",192.4468848,"1,916","1,627",1520
01021,Chilton,AL,2,"1,700.21",2.45,2026,1,18.9,0.027278473,983,2,1675.8096,2.418705168,1814,0,0,,0,"43,643","1,694.71","864,220.80",382.6504149,"1,868","1,849",1390
01023,Choctaw,AL,1,"1,713,776.31","1,876.05",372,1,316577.0001,346.553815,157,1,1262234.001,1381.755492,215,1,134965.3067,147.7452307,355,"13,859","1,578,811.10","2,105,136,711.65",4502.919061,160,464,865
01025,Clarke,AL,4,"967,663.54",781.34,628,1,225405.0058,182.0033865,213,4,741628.2513,598.8281083,393,3,617.2802609,0.49842326,803,"25,833","967,033.26","2,176,634,624.80",4100.836003,261,459,898
01027,Clay,AL,4,"357,225.10",591.47,708,0,0,,0,4,356797.8,590.7628222,398,1,115.2,0.190740742,853,"13,932","356,797.80","35,675,291.30",342.2481658,552,"1,377",1422
01029,Cleburne,AL,1,"5,072.00",9.06,1904,1,1.2,0.002142458,1189,1,4,0.007141527,2160,0,0,,0,"14,972",8.30,"17,400.00",2.6149442,"2,170","2,157",1962
01031,Coffee,AL,4,"1,702,752.04","2,507.79",315,2,1694401,2495.487382,36,4,8312.04,12.24184295,1571,0,0,,0,"49,948","1,702,714.04","5,905,643.00",42.95822593,147,"1,633",1704
01033,Colbert,AL,13,"1,803,136.27","3,042.65",269,7,560015.2301,944.9822372,83,12,804880.5417,1358.173446,221,3,143855.4,242.7448227,300,"54,428","1,364,895.77","3,526,433,043.43",11864.80614,190,374,662
01035,Conecuh,AL,4,"17,522.00",20.61,1745,1,780,0.917477747,639,3,16742,19.69283647,1465,0,0,,0,"13,228","17,522.00","3,541,806.00",7.06639128,"1,514","1,699",1878
01037,Coosa,AL,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
01039,Covington,AL,3,"82,451.00",80.01,1408,1,10,0.009704439,1098,3,82307,79.87432219,1055,0,0,,0,"37,765","83,372.00","64,223,542.40",274.4077251,"1,033","1,261",1467
01041,Crenshaw,AL,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
01043,Cullman,AL,9,"395,430.24",538.08,742,2,333632.88,453.9854413,138,9,61017.72,83.02885657,1037,0,0,,0,"80,406","394,650.84","3,639,567,339.74",174635.7019,515,361,239
01045,Dale,AL,3,"54,183.00",96.56,1324,1,974,1.735722039,594,3,1511.7,2.693933272,1803,1,49288.3,87.83448521,407,"50,251","74,991.82","67,174,259.27",2243.068932,"1,070","1,248",1054
01047,Dallas,AL,4,"1,042,247.21","1,064.94",541,1,100138.9375,102.3188835,279,4,765792.3688,782.463067,336,2,176315.9006,180.1541592,337,"43,820","865,931.31","1,224,407,924.20",3575.207052,284,590,935
01049,DeKalb,AL,8,"674,757.90",868.31,598,4,587370.16,755.8546313,95,8,77800.74,100.1175301,961,0,0,,0,"71,109","666,977.02","1,317,619,567.97",80543.55308,353,571,333
01051,Elmore,AL,2,"73,650.72",119.08,1243,0,0,,0,1,20726,33.51073922,1325,0,0,,0,"79,303","68,255.96","67,249,003.36",4351.890227,"1,109","1,247",878
01053,Escambia,AL,8,"2,061,997.97","2,181.82",346,4,213243.3489,225.6351295,197,7,1761005.001,1863.338733,170,2,74119.92282,78.42710441,418,"38,319","1,974,248.65","1,494,075,792.56",9289.73794,123,537,705
01055,Etowah,AL,8,"893,601.94","1,669.25",406,5,767807.1,1434.26095,54,6,11936.8122,22.29792301,1427,0,0,,0,"104,430","870,541.98","4,643,657.55",331.8099517,282,"1,668",1432
01057,Fayette,AL,4,"33,645.60",53.60,1521,1,0.97,0.001545364,1202,3,25219.63,40.17887769,1271,0,0,,0,"17,241","33,799.60","2,345,207.98",37.45948284,"1,345","1,748",1721
01059,Franklin,AL,4,"67,906.00",107.14,1279,3,3021,4.766353516,514,3,28916,45.62193918,1234,1,33485,52.83063471,456,"31,704","32,020.00","129,609,322.90",2923.619147,"1,361","1,116",977
01061,Geneva,AL,1,"59,545.08",103.66,1291,0,0,,0,1,59545,103.6632034,947,0,0,,0,"26,790","59,545.08","7,489,124.20",63.32905355,"1,153","1,598",1655
01063,Greene,AL,3,"309,594.34",478.43,781,2,41439.2,64.03734843,324,2,45377.13,70.1227602,1096,1,175200.7,270.7433606,291,"9,045","86,816.33","2,212,701,258.96",17581.49472,"1,021",453,587
01065,Hale,AL,1,"53,007.42",82.32,1398,1,0.1,0.000155293,1253,1,52725.19,81.8786966,1045,1,282.13,0.438129036,805,"15,760","52,725.29","153,659.42",2.417043295,"1,201","2,005",1970
01067,Henry,AL,1,"2,300.00",4.09,1988,0,0,,0,1,2300,4.094346757,1761,0,0,,0,"17,302","2,915.00","16,100.00",0.129345,"1,810","2,164",2163
01069,Houston,AL,3,"45,302.50",78.13,1417,0,0,,0,3,45302.5013,78.13124554,1061,0,0,,0,"101,547","46,552.50","4,804,918.37",81.33809596,"1,239","1,661",1626
01071,Jackson,AL,6,"923,747.64",857.01,601,3,154223.692,143.082186,236,5,395230.9919,366.6785145,530,1,359965.1102,333.9603285,273,"53,227","551,907.53","2,386,739,695.67",13075.10576,414,439,639
01073,Jefferson,AL,54,"7,304,879.32","6,573.41",118,25,41565.38411,37.40324806,375,51,658468.3843,592.5328694,397,4,4167896.84,3750.545862,77,"658,466","736,653.44","23,058,026,091.56",2301258.249,325,89,39
01075,Lamar,AL,3,"42,692.61",70.58,1447,1,24.00911238,0.03969457,935,3,42668.50007,70.54437237,1095,0,0,,0,"14,564","42,692.51","41,598,288.33",4280.376967,"1,271","1,339",883
01077,Lauderdale,AL,6,"24,398.28",36.54,1613,3,716.07,1.07244296,623,5,8556.8275,12.81538035,1565,0,0,,0,"92,709","9,278.02","337,783,661.19",19840.0671,"1,647",907,564
01079,Lawrence,AL,0,0.00,,0,0,0,,0,0,0,,0,0,0,,0,"34,339",0.00,0.00,0,0,0,0
01081,Lee,AL,10,"121,669.32",200.26,1075,1,1.12,0.001843464,1195,9,119349.736,196.4436862,744,2,668.14,1.099724967,759,"140,247","84,018.98","1,545,685,178.00",37582.6224,"1,031",529,448
01083,Limestone,AL,6,"52,881.05",94.44,1335,3,73.65,0.131532356,812,5,51387.7,91.77386605,1005,1,1200,2.143093372,710,"82,782","51,500.65","3,806,597,862.31",105751.9204,"1,214",353,294
01085,Lowndes,AL,2,"349,288.14",487.89,772,1,1583.3,2.211586533,573,2,315910.73,441.2707105,475,0,0,,0,"11,299","317,494.03","37,492,478.23",684.3408671,590,"1,362",1284
01087,Macon,AL,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
01089,Madison,AL,25,"1,256,186.60","1,567.11",431,6,1777.84,2.217884661,572,20,1169025.384,1458.378407,206,1,10053,12.54128296,580,"334,811","1,362,852.36","2,460,163,773.27",173354.8979,191,432,240
01091,Marengo,AL,2,"1,345,884.04","1,377.73",471,1,51241.00237,52.45363227,343,2,1053494.842,1078.426035,264,2,241148.1907,246.8550171,298,"21,027","1,104,735.84","1,212,368,350.66",2438.784589,231,592,1030
01093,Marion,AL,4,"501,851.20",676.08,665,2,263,0.354308124,714,4,501495.2,675.603891,364,0,0,,0,"30,776","501,758.20","19,969,195.80",405.4332706,443,"1,472",1381
01095,Marshall,AL,8,"165,364.27",292.24,955,4,104.79147,0.185195792,772,4,127133.75,224.6808396,705,0,0,,0,"93,019","133,992.38","196,506,624.68",4495.787464,891,"1,036",866
01097,Mobile,AL,46,"13,230,327.08","10,761.66",76,19,2438403.981,1983.418596,46,45,2755395.88,2241.26251,146,3,1038563.8,844.7766531,194,"412,992","17,573,654.77","10,621,539,992.47",88915.98066,5,174,312
01099,Monroe,AL,5,"4,638,503.49","4,522.33",173,1,434888.77,423.9968901,141,5,3823982.374,3728.209938,73,2,379632.3442,370.124373,266,"23,068","4,258,873.14","2,206,802,527.23",1194.296746,43,455,1183
01101,Montgomery,AL,15,"246,428.18",314.21,931,5,75.445,0.096195688,839,14,198961.5732,253.6847417,649,1,2798.601206,3.568339416,674,"229,363","287,724.91","184,011,417.25",5404.249116,615,"1,048",828
01103,Morgan,AL,21,"4,676,777.88","8,072.32",101,8,1479240.066,2553.231932,33,18,2545216.531,4393.153125,51,1,89415,154.3341331,352,"119,490","5,694,305.79","84,546,823,741.28",1144634.337,28,24,69
01105,Perry,AL,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
01107,Pickens,AL,3,"13,735.69",15.58,1801,1,11,0.012479717,1068,3,12208.942,13.85128505,1553,3,1437.54,1.63091743,729,"19,746","12,219.94","322,178,630.56",764.7039274,"1,588",922,1262
01109,Pike,AL,3,"2,381,968.17","3,544.05",239,1,298,0.443383742,686,3,1187.572354,1.76694723,1841,1,2365313.7,3519.267247,80,"32,899","1,527.87","1,756,335,477.90",12761.57574,"1,877",495,647
01111,Randolph,AL,3,"13,321.65",22.95,1720,1,27.17,0.046800478,914,3,13294.48,22.8998166,1417,0,0,,0,"22,913","13,321.65","1,247,152,274.00",30462.75387,"1,571",586,483
01113,Russell,AL,6,"2,299,826.74","3,587.00",235,1,38494.127,60.03870511,329,6,1571963.862,2451.768155,123,3,689359.1587,1075.183008,172,"52,947","1,610,457.99","2,820,354,695.84",15263.85675,159,404,610
01117,Shelby,AL,17,"1,187,365.44","1,512.66",437,6,11552.067,14.71688159,432,17,992982.2419,1265.020543,234,6,99113.954,126.2673013,377,"195,085","1,004,534.31","2,562,369,740.55",32939.83394,253,426,470
01115,St. Clair,AL,13,"298,895.62",473.01,784,8,300.76,0.475957982,682,13,45047.66122,71.28871503,1092,0,0,,0,"83,593","177,608.86","41,489,221,123.04",23149.9649,797,49,533
01119,Sumter,AL,2,"12,874,556.43","14,243.52",57,0,0,,0,2,1113.43,1.231822242,1869,2,12849008,14215.25722,26,"13,763","1,113.43","2,305,464,607.60",1717.311698,"1,906",448,1115
01121,Talladega,AL,15,"1,327,778.44","1,802.14",382,3,30679.06246,41.63953461,364,14,1096700.73,1488.510545,202,2,196077.8677,266.129096,292,"82,291","1,286,511.60","6,083,541,891.13",71127.83572,201,262,344
01123,Tallapoosa,AL,2,"18,204.55",25.41,1686,0,0,,0,2,18183.5472,25.37756606,1385,0,0,,0,"41,616","18,699.55","667,050.60",7.38747679,"1,497","1,872",1874
01125,Tuscaloosa,AL,20,"6,384,943.93","4,830.90",159,6,11350.29364,8.587720243,475,19,227740.2475,172.3100385,789,3,139.35,0.105433291,880,"194,656","704,297.75","1,543,805,050.11",172953.7112,336,530,241
01127,Walker,AL,9,"2,397,805.85","3,030.62",272,2,27113.2,34.26872615,379,7,93228.20799,117.8323447,909,3,2273950.28,2874.075337,101,"67,023","120,591.41","5,995,666,789.44",33650.49183,924,266,465
01129,Washington,AL,6,"891,931.88",825.70,607,4,152390,141.074866,238,6,661503.4706,612.3860717,387,1,74680.21,69.13511791,433,"17,581","814,899.57","1,550,226,799.50",1535.198191,302,527,1135
01131,Wilcox,AL,1,"1,572,079.15","1,769.37",385,1,47215.27,53.14053178,342,1,1524863.88,1716.226074,186,0,0,,0,"11,670","1,572,079.15","2,209,444,518.43",3779.353859,161,454,918
01133,Winston,AL,3,"12,893.12",21.03,1741,1,6,0.009788222,1097,2,12626.13,20.59789336,1454,1,85.99,0.140281531,869,"24,484","12,632.13","4,854,230.00",247.2456135,"1,580","1,658",1481
05001,Arkansas,AR,4,"293,106.81",296.43,947,0,0,,0,3,293072.81,296.3920198,588,0,0,,0,"19,019","293,081.81","158,578,258.91",6141.180943,613,"1,075",789
05003,Ashley,AR,3,"1,472,958.90","1,591.79",423,1,307909.0424,332.74924,159,3,966871.062,1044.872241,273,1,196461.7868,212.3111089,314,"21,853","1,289,417.20","1,440,715,459.66",10450.63691,200,550,689
05005,Baxter,AR,6,"63,659.10",114.85,1256,1,8,0.01443305,1048,6,53074.9,95.75408517,985,1,750,1.35309843,742,"41,513","170,541.05","54,486,744,890.13",780250.3368,813,37,91
05007,Benton,AR,8,"298,100.67",351.78,887,3,4743.2,5.597375184,501,7,72368.68996,85.40114465,1024,1,126082,148.787371,354,"221,339","77,362.07","109,107,679.11",2578.368112,"1,061","1,139",1014
05009,Boone,AR,5,"50,335.58",85.27,1383,3,21.5466881,0.036499332,953,5,50306.03603,85.21665674,1027,0,0,,0,"36,903","50,335.57","2,330,396.82",42.1165118,"1,220","1,749",1706
05011,Bradley,AR,2,"39,926.25",61.50,1489,0,0,,0,2,39252.35,60.45926001,1147,1,32.9,0.050674919,911,"11,508","39,252.32","433,022.09",2.048588443,"1,295","1,916",1986
05013,Calhoun,AR,3,"142,032.04",225.96,1043,0,0,,0,3,132579,210.9254176,725,0,0,,0,"5,368","132,579.00","690,211,440.00",734.8131656,896,764,1268
05015,Carroll,AR,3,"38,545.00",61.18,1491,0,0,,0,3,38545,61.1846235,1142,0,0,,0,"27,446","28,999.00","202,993.00",8.6963779,"1,383","1,986",1858
05017,Chicot,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05019,Clark,AR,5,"77,489.79",89.47,1357,0,0,,0,4,73860.54558,85.28200454,1026,2,3564.414,4.115598775,662,"22,995","79,685.38","27,187,239.79",7.947491485,"1,052","1,424",1866
05021,Clay,AR,0,0.00,,0,0,0,,0,0,0,,0,0,0,,0,"16,083",0.00,0.00,0,0,0,0
05023,Cleburne,AR,1,0.26,0.00,2298,1,0.1,0.000180606,1250,1,0.15,0.000270909,2228,0,0,,0,0,0.25,"5,250.00",0.4431811,"2,250","2,203",2096
05025,Cleveland,AR,1,0.02,0.00,2313,1,0.019091111,3.19365E-05,1270,0,0,,0,0,0,,0,"8,689",0.02,"32,262.22",1559.695,"2,275","2,117",1130
05027,Columbia,AR,10,"367,981.09",480.36,778,2,8.958,0.011693656,1075,10,325036.061,424.297808,491,2,14779,19.29231263,547,"24,552","325,045.02","3,978,420,090.88",14059.00729,581,342,629
05029,Conway,AR,2,"771,493.81","1,396.98",466,1,25083.28,45.41959234,353,2,625267.4207,1132.204056,254,1,121143.1101,219.3600947,313,"21,273","650,350.03","993,071,268.17",3938.62218,362,657,909
05031,Craighead,AR,8,"61,943.72",87.59,1364,3,125.555,0.177533301,777,8,57777.8012,81.69713501,1046,0,0,,0,"96,443","57,960.31","9,656,177.40",304.2252292,"1,171","1,565",1445
05033,Crawford,AR,3,"81,367.78",137.19,1213,2,16.06,0.027078079,984,3,40061.936,67.5467178,1109,1,7,0.011802401,976,"61,948","42,313.33","11,948,267.12",350.1439361,"1,278","1,531",1417
05035,Crittenden,AR,6,"52,386.27",85.90,1379,2,2916.46009,4.782179621,513,6,49158.88577,80.60683653,1050,0,0,,0,"50,902","52,176.55","68,517,576.56",4162.639075,"1,206","1,241",894
05037,Cross,AR,1,240.00,0.39,2143,1,240,0.389369804,699,0,0,,0,0,0,,0,"17,870",240.00,"360,000.00",28.14621,"2,019","1,934",1742
05039,Dallas,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05041,Desha,AR,2,"1,617,086.61","2,105.17",353,1,120424.0046,156.7711295,227,2,1298282.001,1690.13758,191,1,198343.0011,258.208124,295,"13,008","1,418,708.21","902,897,818.22",885.8996244,184,686,1241
05043,Drew,AR,0,0.00,,0,0,0,,0,0,0,,0,0,0,,0,0,0.00,0.00,0,0,0,0
05045,Faulkner,AR,8,"112,165.56",173.12,1132,2,11.26,0.017379548,1033,8,16072.1001,24.80691245,1397,0,0,,0,"113,237","16,515.56","3,891,745,728.92",453659.356,"1,524",348,127
05047,Franklin,AR,2,"15,663.47",25.73,1684,1,22.6,0.037118667,949,2,12407.3343,20.37804035,1457,0,0,,0,"18,125","12,429.93","137,831,738.90",587.9842651,"1,586","1,108",1312
05049,Fulton,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05051,Garland,AR,4,"1,046,720.29","1,544.29",432,1,272038.29,401.3535767,144,4,194407,286.8197149,600,1,356375,525.7803264,231,"96,024","545,445.89","112,610,442.25",5491.938089,417,"1,137",820
05053,Grant,AR,3,"53,110.09",84.06,1388,1,5,0.007913756,1116,3,52276.99398,82.7414756,1039,0,0,,0,"17,853","52,446.99","475,323,867.39",9990.078607,"1,203",839,695
05055,Greene,AR,8,"476,103.18",824.12,608,3,42.15,0.072960062,872,5,293312.1225,507.7122334,436,2,174196.51,301.5275959,282,"42,090","293,443.46","443,533,526.39",12085.46579,611,856,657
05057,Hempstead,AR,7,"1,858,292.10","2,554.28",308,3,913343.4,1255.42014,63,7,125363.3013,172.3159255,788,2,773480.001,1063.17336,173,"22,609","1,038,712.90","1,146,270,257.96",2886.770678,245,611,983
05059,Hot Spring,AR,3,"45,121.39",73.34,1434,2,6.4,0.010402967,1090,3,44839.994,72.88577704,1084,0,0,,0,"32,923","44,853.39","888,394,621.77",3775.272505,"1,251",691,919
05061,Howard,AR,5,"662,297.96","1,125.30",526,1,557633,947.4635654,82,5,100813.97,171.2910883,791,1,94,0.159713602,863,"13,789","779,133.36","269,277,200.75",4625.383051,307,971,858
05063,Independence,AR,4,"1,898,135.52","2,484.62",317,3,3963.6136,5.188290476,506,3,584500.9916,765.1000411,341,3,1309563.913,1714.192821,134,"36,647","598,078.63","2,568,555,790.73",1782.430072,385,425,1109
05065,Izard,AR,0,0.00,,0,0,0,,0,0,0,,0,0,0,,0,0,0.00,0.00,0,0,0,0
05067,Jackson,AR,3,"7,459.18",11.77,1853,1,5.251,0.008283153,1111,3,7453.9303,11.75814943,1583,0,0,,0,"17,997","7,459.18","32,201,406.60",408.1062873,"1,691","1,398",1380
05069,Jefferson,AR,11,"4,626,765.25","5,313.57",142,5,167846.4844,192.761815,209,10,3685658.485,4232.76199,56,4,759381.6632,872.1051756,193,"77,435","3,604,084.10","4,947,474,120.10",33127.75457,54,298,469
05071,Johnson,AR,4,"37,622.59",57.02,1501,0,0,,0,4,30391.411,46.06111671,1229,0,0,,0,"25,540","30,891.41","42,717,247.29",22.7518721,"1,373","1,336",1765
05073,Lafayette,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05075,Lawrence,AR,1,"2,553.00",4.34,1981,1,176.82,0.30091181,726,1,2376.182,4.043780259,1762,0,0,,0,"17,415","2,553.00","5,955,203.22",53.23406601,"1,830","1,630",1679
05077,Lee,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05079,Lincoln,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05081,Little River,AR,2,"2,228,946.40","4,187.73",194,1,328860.51,617.8604063,115,2,1766333.314,3318.572421,85,2,129166.3811,242.6767284,301,"13,171","2,095,193.82","2,930,887,259.01",6107.208651,112,393,790
05083,Logan,AR,3,"33,008.00",46.61,1557,1,22275,31.4564893,385,3,9621,13.58666144,1556,0,0,,0,"22,353","31,896.00","115,668,139.92",1750.526117,"1,362","1,132",1111
05085,Lonoke,AR,2,"243,223.00",315.49,929,1,78849,102.2775967,280,2,23374,30.31917392,1349,0,0,,0,"68,356","102,223.00","103,823,761.50",2385.965506,977,"1,153",1039
05087,Madison,AR,1,"5,734.64",6.87,1931,1,4.64,0.005561846,1145,1,5730,6.868399764,1684,0,0,,0,"15,717","8,793.64","40,110.00",1.47077,"1,658","2,104",2009
05089,Marion,AR,2,"261,859.61",438.62,805,0,0,,0,2,261859.61,438.6194249,479,0,0,,0,"16,653","261,860.00","932,970.40",5.52281724,648,"1,842",1904
05091,Miller,AR,3,"223,630.33",357.47,879,2,182293.6,291.3958343,172,2,1450.87,2.319211833,1817,0,0,,0,"43,462","185,909.79","357,213,395.89",20643.18685,781,895,560
05093,Mississippi,AR,16,"4,279,350.47","4,751.79",162,6,18333.11,20.35710328,410,14,1899025.578,2108.67986,154,1,1158383.7,1286.270394,160,"46,480","1,934,370.40","4,165,930,926.59",11451.14514,127,334,671
05095,Monroe,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05097,Montgomery,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05099,Nevada,AR,1,"65,105.11",105.38,1285,0,0,,0,1,572.306,0.926306179,1894,0,0,,0,"8,997",581.61,"77,615.69",0.153393927,"1,951","2,075",2152
05101,Newton,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05103,Ouachita,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,"26,120",0.00,0.00,0,0,0,0
05105,Perry,AR,,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.00,0,0,0,0
05107,Phillips,AR,4,"16,024.80",23.04,1717,0,0,,0,4,16019.8,23.0281903,1413,0,0,,0,"21,757","15,996.00","11,319,577.50",136.365439,"1,533","1,540",1573
